BGC0000223	s__uncultured_bacterium
BGC0000224	s__Streptomyces_griseus
BGC0000225	s__Streptomyces_roseofulvus
BGC0000226	s__Streptomyces_griseoflavus
BGC0000227	s__Streptomyces_violaceoruber
BGC0000228	s__Streptomyces_violaceoruber
BGC0000229	s__Streptomyces_lusitanus
BGC0000230	s__Streptomyces_sp_JP95
BGC0000231	s__Streptomyces_griseus
BGC0000232	s__Streptomyces_sp_2238_SVT4
BGC0000233	s__Streptomyces_griseoruber
BGC0000234	s__Streptomyces_venezuelae
BGC0000235	s__Streptomyces_sp_W007
BGC0000236	s__Streptomyces_murayamaensis
BGC0000237	s__Streptomyces_sanglieri
BGC0000238	s__Streptomyces_rishiriensis
BGC0000239	s__Streptomyces_cyanogenus
BGC0000240	s__Salinispora_pacifica
BGC0000241	s__Salinispora_tropica
BGC0000242	s__Streptomyces_tendae
BGC0000243	s__Streptomyces_griseus
BGC0000244	s__Streptomyces_griseus
BGC0000245	s__Streptomyces_sp_AM_7161
BGC0000246	s__Streptomyces_argillaceus
BGC0000247	s__Streptomyces_argillaceus
BGC0000248	s__Streptomyces_arenae
BGC0000249	s__Streptomyces_nogalater
BGC0000250	s__Streptomyces_nogalater
BGC0000251	s__unidentified_unclassified
BGC0000252	s__Streptomyces_griseus
BGC0000253	s__Streptomyces_antibioticus
BGC0000254	s__Streptomyces_rimosus
BGC0000255	s__Uncultured_bacterium
BGC0000256	s__Actinomadura_hibisca
BGC0000257	s__Streptomyces_griseoviridis
BGC0000258	s__Serratia_sp
BGC0000259	s__Serratia_marcescens
BGC0000260	s__Hahella_chejuensis
BGC0000261	s__Streptomyces_sp_R1128
BGC0000262	s__Streptomyces_sp_PGA64
BGC0000263	s__Streptomyces_ravidus
BGC0000264	s__Streptomyces_resistomycificus
BGC0000265	s__Streptomyces_purpurascens
BGC0000266	s__Streptomyces_collinus
BGC0000267	s__Micromonospora_sp_Tu_6368
BGC0000268	s__Streptomyces_sp_SCC_2136
BGC0000269	s__Streptomyces_sp_SF2575
BGC0000270	s__Streptomyces_antibioticus
BGC0000271	s__Streptomyces_avermitilis
BGC0000272	s__Streptomyces_collinus
BGC0000273	s__Streptomyces_steffisburgensis
BGC0000274	s__uncultured_bacterium
BGC0000275	s__Streptomyces_glaucescens
BGC0000276	s__Streptomyces_fradiae
BGC0000277	s__Streptomyces_fradiae
BGC0000278	s__Streptomyces_fradiae
BGC0000279	s__Streptomyces_flavogriseus
BGC0000280	s__Pseudomonas_fluorescens
BGC0000281	s__Pseudomonas_fluorescens
BGC0000282	s__Streptomyces_griseus
BGC0000283	s__Actinomyces_sp_Lu_9419
BGC0000284	s__Azotobacter_vinelandii
BGC0000285	s__Saccharopolyspora_erythraea
BGC0000286	s__Streptomyces_sp_KO_3988
BGC0000287	s__Pseudomonas_aeruginosa
BGC0000288	s__Streptomyces_sp_SANK_62799
BGC0000289	s__Nonomuraea_gerenzanensis
BGC0000290	s__Streptomyces_toyocaensis
BGC0000291	s__Streptomyces_fradiae
BGC0000292	s__Aspergillus_terreus
